"participant","version","source_cluster","block","trial_in_block","current_ap","current_hp","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr"
865,"A",8,8,7,"unn2/abstract06e_ap.jpg","unn2/abstract06e_hp.jpg","right","unn","RT","right",1
865,"A",8,8,8,"Nam2/inanimate06d_ap.jpg","Nam2/inanimate06e_hp.jpg","left","nam","RT","left",1
865,"A",8,8,9,"unn2/abstract09e_ap.jpg","unn2/abstract09d_hp.jpg","left","unn","N","left",1
865,"A",8,8,10,"Nam2/inanimate10d_ap.jpg","Nam2/inanimate10d_hp.jpg","right","nam","N","right",1
865,"A",8,8,11,"Nam2/inanimate03e_ap.jpg","Nam2/inanimate03e_hp.jpg","right","nam","RS","right",1
865,"A",8,8,12,"Nam2/inanimate06e_ap.jpg","Nam2/inanimate06d_hp.jpg","left","nam","RT","left",1
865,"A",8,8,13,"unn2/abstract03d_ap.jpg","unn2/abstract03d_hp.jpg","right","unn","RS","right",1
865,"A",8,8,14,"unn2/abstract06d_ap.jpg","unn2/abstract06e_hp.jpg","left","unn","RT","left",1
865,"A",8,8,15,"unn2/abstract09d_ap.jpg","unn2/abstract09d_hp.jpg","right","unn","N","right",1
865,"A",8,8,16,"Nam2/inanimate03d_ap.jpg","Nam2/inanimate03e_hp.jpg","left","nam","RS","left",1
865,"A",8,8,17,"unn2/abstract03e_ap.jpg","unn2/abstract03e_hp.jpg","right","unn","RS","right",1
865,"A",8,8,18,"Nam2/inanimate10e_ap.jpg","Nam2/inanimate10d_hp.jpg","left","nam","N","left",1
865,"A",8,8,19,"unn2/abstract06e_ap.jpg","unn2/abstract06d_hp.jpg","left","unn","RT","left",1
865,"A",8,8,20,"Nam2/inanimate06d_ap.jpg","Nam2/inanimate06d_hp.jpg","right","nam","RT","right",1
865,"A",8,8,21,"unn2/abstract09e_ap.jpg","unn2/abstract09e_hp.jpg","right","unn","N","left",0
865,"A",8,8,22,"Nam2/inanimate10d_ap.jpg","Nam2/inanimate10e_hp.jpg","left","nam","N","left",1
865,"A",8,8,23,"Nam2/inanimate03e_ap.jpg","Nam2/inanimate03d_hp.jpg","left","nam","RS","left",1
865,"A",8,8,24,"Nam2/inanimate06e_ap.jpg","Nam2/inanimate06e_hp.jpg","right","nam","RT","right",1
